Blog_ID,Author,Author_ID,Title,Publication_Date,Blog Text
KT6uddDqhK,Matthew Thomas,EGk9cj6fyZ,Fantastic Story in the Future,1945-12-15,"Congrats to the 5 big #winners of the ""Get certified-Get happy"" #Sweepstakes!  EZ log-in&gt;Contests&gt;Winners:  http://t.co/396AtoHF #Microsoft"
Xh35MgDgtv,Ava Harris,gnkz4MlZUq,Fantastic Journey in the Mountains,1928-12-06,Easiest way to use Evernote with iPhone 4S Siri. Just tell Siri to Email Evernote and say your note. @evernote @apple #evernote #siri
Knmrci9Rlx,Frank Thompson,N727bSkvoR,Mysterious Story in the Future,1977-09-12,[WebProNews Finance] #Yahoo Revenue Drop Attributed to #Microsoft Deal http://t.co/EOrOSstX
TBgpwJjDF8,Noah Johnson,fuLH8mEJl9,Mysterious Life Beyond the Stars,2007-04-10,#Android #Google Download: Android 4.0 Ice Cream Sandwich SDK System Dump http://t.co/VyyAsBM6 #DhilipSiva
50xTuI9iXR,David Rodriguez,1qDJB0Dfk6,Incredible Adventure in the Mountains,1981-02-08,RT @pretty_browniee: #oomf gone get it next week i promise! Man you better #Google tht!!!
bFRnrh4eiw,Emma Walker,OSSNYUfJJH,Mysterious Life in the Mountains,1980-02-19,"#Buffalo, #Intel, #Microsoft, #IBM are the best pavilions at #SMAU"
7bncR0Atkb,Daniel Robinson,qtycrug1bv,Magical Secret of the Ancient World,1963-11-06,Android #ICS predice cuál será tu gasto de datos y te advierte o bloquea para que no gastes más dinero! #tecnologia #ciencia #google
PgOvuFUISW,Ivy Moore,jG6DnLkQHo,Mysterious Journey in the Mountains,1986-02-08,New post: Touch Everywhere http://t.co/KKDup8v1 #microsoft #research #touch
x68UWtWuOP,Lucas Walker,6sL3udtGIV,Mysterious Journey Beyond the Stars,1952-10-10,pensando seriamente em excluir meu #twitter
qfDE2BCL3f,Logan Robinson,HugQE9UXCn,Amazing Journey in the Future,1910-04-18,#Twitter Thank you.Read those great tweets.helps live better! :) Bows.
AR43xWap7D,Amelia Moore,bLAarO2VQw,Amazing Story of the Ancient World,1912-06-14,“@GeeCloud: Congratulations to Softline Pastel (@SageGroupZA) for winning #ISV of the Year at #Microsoft #partnersummit” @SoftlinePastel
A3FRvxgxpc,Lucas Perez,FdxBVf3oY0,Amazing Secret Beyond the Stars,1972-04-21,#Google lanza #Android 4.0 http://t.co/NZ494v4h también conocido como Ice Cream Sandwich y Samsung lanza el Galaxy #Nexus
R2zcDLJbF1,Lucas Anderson,lQuLmJNvAo,Magical Life in the Mountains,2019-01-03,RT @extremejohn Stuck on Facebook? I’m so sorry.  http://t.co/aGHbaQmn #Twitter #Google  #Facebook
s9dZLIGFaC,Evelyn Brown,f3kcQQhIkw,Mysterious Journey in the Mountains,1904-03-20,Installed io5 - fine on ipad but wiped wife's iPhone and restore from backup failed! #Bigtrouble #help @apple
kgGEE7HXCD,Ivy Walker,tTjmbzyFvH,Incredible Secret Under the Sea,1967-02-27,Microsoft CEO Looks Ahead at Social and Mobile Plans http://t.co/KFwQ8r4T #Technology #Microsoft #Nokia
Zx1ZzQQWof,Lucas Thompson,DY3vr7yhhP,Mysterious Adventure of the Ancient World,1912-07-24,"Consommation data affichée dans les paramètres, avec même une approximation de la consommation future !#google #nexusprime"
2aEs9zAZJk,Mason Anderson,ClEoWIph7I,Magical Secret in the Future,1991-04-30,Can someone plz explain to me whhyy @apple is only distributing 2-3 phones per day to the sprint stores. I'm really ... http://t.co/uf9taK8f
W4d6WNc92T,Olivia Wilson,tYkcRC11RS,Mysterious Journey Under the Sea,1949-12-26,RT @ajrogers Purdie Rogers tribute to #SteveJobs and @apple. We spray painted the Macintosh Plus w.. http://t.co/oMXjhZh0
pE15EYqkr8,Lucas Thompson,B2T3zaCQCQ,Amazing Secret in the Mountains,1989-03-29,I am quickly falling in love with #Apple #iCloud. Finally a web-based solution to wave my old #Microsoft Outlook bye-bye
Psw0ffKuRz,Mason Johnson,7CPg6eJTGp,Fantastic Journey of the Ancient World,1939-04-25,Whats a good #twitter ap for #iOS that links to #FB accounts to post links? #help
AffjRKREpI,Mason Harris,WIFOHBMFTR,Incredible Journey in the Future,1904-12-30,Dear @apple: Integrated tweeting in ios5 RAWKS. Plz consider adding @ and # lookup like @twitter app. Thx! http://t.co/5uHsTEPz
CCGDYhTdWM,Grace Thompson,xJwtjkz4jy,Mysterious Adventure of the Ancient World,1931-03-29,#microsoft #SBS 2011 disabling third party software #updates via #gpo
yFQhd2EHHV,Frank Lewis,NXDqmw4eUh,Incredible Adventure in the Mountains,1996-04-24,One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple)
4U0GWC5gxd,Jacob Harris,jRiyyEzUKZ,Amazing Life in the Mountains,1954-11-22,Why are manhole covers round? #Google #autocomplete
JYKkkIwDfI,Mia Brown,c4MF9yJeKu,Amazing Life in the Mountains,1975-07-03,#Twitter &gt; #Facebook
EWZ24oSRk0,Isabella Williams,tCjfMijzLO,Mysterious Secret Beyond the Stars,1931-03-17,@Motorola is the Best Android-powered company that is going against @Apple.
CDhlrXMEJn,Lucas Hall,DEux1C7kFO,Mysterious Story of the Ancient World,2008-06-26,#Google (and #Twitter ) get ready for the debut of #IceCreamSandwich http://t.co/T36KZ6gf
Mc6vC87tiE,Ethan Brown,VEiHIeEg3J,Magical Journey of the Ancient World,1928-05-03,buenas noches  #Twitter W:
2YtsxcrSw8,Jack Clark,ZhWAQxa2XN,Magical Story in the Future,1901-04-04,@apple Iphone's & Ipad's beautiful technology but alltogether mainly a marketing platform. It's obscure is'nt it? Apple lost it's touch.
gDSpfeE2vA,Emma Lee,KfRX8pXlmX,Mysterious Life in the Future,1921-02-22,"@Apple Would much rather get outta this having a ( see pic ) and have fun with this "" Have your friends choose music"" http://t.co/7IiHbr4J"
uaTz3Gkrja,Ethan Taylor,5Rda65md6v,Magical Journey in the Future,1923-10-03,@Ayy_Queen #google it lol espn too
UWjp2JBIfh,Noah Johnson,om9og7Hwhf,Mysterious Adventure Beyond the Stars,1924-05-13,A Child’s-Eye View Of #Microsoft’s #Kinect For #Kids http://t.co/mnamu0xF
Ort3sL304a,Jacob Brown,XjyX8z0OmV,Fantastic Life in the Mountains,1915-06-12,#GoodNightPeople Hasta Mñn #Twitter :B
dXrQb39HVu,David Walker,QeasNkrife,Mysterious Journey in the Mountains,1995-03-23,"Apples to oranges maybe, but #Twitter is way more engaging than #FB. Content vs. Stalkerismo"
AF0KfO23XB,Ethan Williams,Is3WNhrUr9,Mysterious Life of the Ancient World,1981-03-26,FreeSoftwareFoundation publicly warns of danger of implementing #Microsoft #Restrictedboot w/o #UEFI http://t.co/NASQbmaT #anonymous #USDOR
M6XThYyGJ1,Aiden Hernandez,IPHn5wiYTm,Mysterious Journey in the Future,1987-09-03,Search Governance in #SharePoint 2010 http://t.co/xtqv4DW5 #microsoft
TO4akhYDzC,Mason Rodriguez,b8u3D3oCTp,Fantastic Story in the Future,1986-01-09,#Google Google’s Infinite Bookcase: An Abstract Browser For Limitless Libraries http://t.co/MyLzFMRq
2yaT8ChFeV,Matthew Gonzalez,FSLI9jpzdg,Mysterious Life in the Future,1987-01-12,#microsoft ‘People-Centric’ Windows Phone 7.5 Update Released http://t.co/oImNAkVf
Bq3aLcES56,Noah Clark,ZBfJnfl77J,Incredible Story Under the Sea,2014-06-10,"TypeBuilder be gone, Roslyn CTP is here! Creating types without TypeBuilder! http://t.co/cilZFP9B #Roslyn #Microsoft"
PkMv3EzOGm,Daniel Jackson,3ehXcxJV10,Fantastic Secret Under the Sea,2014-08-28,New Galaxy Nexus: Video looks awesome! #nexus #samsung #google #android bit.ly/nEJbyE
5TEmyks6Jn,Lucas Davis,Y59ISCtWDG,Magical Story in the Future,1904-06-30,#twitter off
QJ3HzH3ZVc,Carol Smith,F5PiphhQsO,Amazing Secret in the Mountains,1938-04-22,サムスン、Googleと共同でGoogleリファレンス機「Galaxy Nexus」を正式発表、11月に世界各地で発売　http://t.co/zwSUFuez #androidjp #samsung #google #galaxynexus
rIbUrxgDDV,Evelyn Robinson,atWQGcSvcb,Amazing Story Beyond the Stars,1907-02-13,IHS: iPhone 4S shows key design and component changes. http://t.co/Y3Mali6y  @apple #apple #iphome4S #ios5
l2cODyLNev,Jack Thompson,RwAiMTkqci,Amazing Adventure Beyond the Stars,1963-01-21,Recent study of #Google CTR reveals that top three positions #in #GoogleSearch receive 35% of traffic. @Econsultancy http://t.co/Z2bh6oH1
8d5I7L6RW7,Logan Harris,HUchQYlYNt,Incredible Secret in the Future,2019-05-08,@jpobrien11 or windows bridge for windows phones and don't try and pretend apple didn't steal the notification bar from #google #droidtweets
5KZmAbPfcw,Matthew Garcia,YWXEhus6De,Magical Story in the Mountains,1991-07-01,#Microsoft lanza sitio oficial de #Skype http://t.co/FZeM9Na4
QY6boJ7AWw,Daniel Davis,4GSrdhyo3Y,Magical Story in the Mountains,1925-02-07,should be studying/ doing work but no I'm hold with @apple HURRY THE FUCK UP! #nopatience
nJp4kkgiOS,Evelyn Lopez,Y0hq82FJTt,Amazing Life Under the Sea,1914-01-10,@LuCkY_2_HaVe #Twitter
RCY5LvCmEP,Amelia Moore,sepVViBoFN,Magical Life of the Ancient World,1939-03-09,@cpmorris congrats on joining #twitter
5JyCNa0M53,Carol Williams,D1to6tsLoR,Fantastic Journey of the Ancient World,2005-04-22,Damn tired! .. Need some rest! Night #twitter
JpT7H2QeqG,Mason White,bnw7MSlvH2,Mysterious Story Beyond the Stars,1988-10-19,Good Morning #Twitter! Have a nice day. :}
AgkDtjfBdj,Charlotte Hall,sPqNbF3MbP,Mysterious Journey Beyond the Stars,2011-03-30,Quem não tem um #TWITTER que atire a primeira pedra!
JzvEGvHUfa,Logan Jackson,XeOuAPzGCX,Magical Life in the Future,2004-07-10,JOIN OUR #TT ON #TWITTER FOLLOW @ThisIsYungFRESH & @macDej #TT #RatchetSymptoms
ssSpG7bXJJ,Alice Anderson,Q52wYYEBnA,Amazing Secret Under the Sea,1954-08-11,Goodnight #Twitter :)
ihZrBweTEU,Ava Rodriguez,QM8M8qNovq,Mysterious Story of the Ancient World,1980-03-07,Here's what we know about the #GalaxyNexus http://t.co/7bYXbQVY #google #android
cAV7Mssdeh,Alice Johnson,1zqI5sUAps,Mysterious Journey in the Future,1961-04-30,ASSISTINDO O FILME CHAPA!! PIRATAS DA INFORMÁTICA  ESSE FILME E FODA VIVA @APPLE
ujpI1lwhPe,Sophia Taylor,ZDbOA6KjVU,Magical Secret in the Future,1943-05-25,RT @esmandau: BREAKING NEWS: Samsung Filtra Accidentalmente la foto del Galaxy Nexus http://t.co/vEgkjIfQ #Android #GalaxyNexus #Google
udMDIhPI96,Noah Thomas,rkdYeEUMsQ,Magical Life Beyond the Stars,1968-04-06,@BikerVox @mariomussolini @ios_notch @apple xD thats why i have a back up PC… just incase *hides gun*
FttYTiUMoJ,Mason Davis,Q6rAC4zhdn,Amazing Secret in the Mountains,1956-08-01,"@BrianCrockerJr yeah, it shows. glad you have #twitter :)"
K3VeFXoe7i,Ethan Anderson,U8PKE5jVoD,Mysterious Journey in the Mountains,1922-07-15,#Microsoft To Launch Its Own Version Of #Facebook Timeline Like Web Service Called Project #Greenwich  http://t.co/MmS14pDW
1foT7y4Dt4,Abigail Wilson,ydkp8apvPy,Fantastic Life of the Ancient World,1931-11-16,[iPad] iPad 1. Generation generalüberholt ab 389 € @Apple http://t.co/tOv1xKQ8
TGxL33UzkW,Evelyn Taylor,OjxQYfxgEF,Amazing Story of the Ancient World,1983-11-25,*sigh* @apple store seems stumped what to do about my catastrophically bad battery life after upgrading to #ios5
IvXpW5xa6P,Jacob Hall,uKO0ZcR1IE,Fantastic Life Under the Sea,1974-04-23,"Join Brainware in ORLANDO 11/2-discuss financial best practices, automation tech w/speakers from #disney and #microsoft http://t.co/gLYzOXMc"
PG8k5X1fca,Grace Perez,fmHUuNbTbK,Incredible Life Beyond the Stars,1905-03-15,I'm thinking about Google http://t.co/ACjRL4FO @GetGlue #Google
V93BTNmYH1,Logan Walker,qVxtZDPwqb,Fantastic Journey in the Future,1919-07-24,Check this video out -- Steve Ballmer: We were lucky not to buy Yahoo! ALALUYA http://t.co/V9rmRAUh #microsoft #yahoo #SteveBallmer
cOru0ywEqX,Evelyn Rodriguez,IgT00xwFx7,Mysterious Adventure of the Ancient World,1963-04-29,Meu Bom Jesus que velocidade de captura é essa ? #icecreamsandwich #galaxynexus #google #samsung
wKhoHPWzqj,Charlotte Harris,Wbep5U65U4,Fantastic Story in the Future,2009-07-03,"Welp. RT @Tree @Apple you didn't fall too far from me, huh? RT @NikkiNotNiki Nia Long's mom is gorgeous.."
dacfWrBeE9,Alice Lopez,E8B46hchdS,Magical Life of the Ancient World,1920-08-23,Una porquería las páginas web hechas en .asp y pensar que muchas paginas del gobierno trabajan sobre esta tecnologia de #Microsoft
4wDyvrVdYI,Aiden Walker,x8jZirDCPX,Magical Life in the Future,1910-09-11,http://t.co/Izh7KaiU #google #nexus #prime &lt;3 #android
q1BYqMuSQK,Isabella Robinson,XWMMxin9zM,Incredible Life Beyond the Stars,1992-09-28,#Microsoft's Steve Ballmer attacks #Android phones (Telegraph) - http://t.co/9wbIy1Er
jp9lYUFVrk,Emma Taylor,znjYfTcNy3,Fantastic Adventure Beyond the Stars,1941-02-15,#twitter why must you be so difficult?
aBgyCnFWq2,Henry Moore,hAYY9YW4Cq,Amazing Adventure in the Future,2001-03-28,@LennyDubz you do know that @apple is not the company. and why u blasting me on #twitter???
3YfiRw7aUD,Eve Harris,miEiKmbB1s,Mysterious Adventure in the Mountains,1946-12-09,"يبدو ان طفرة الاجهزة الالكترونية القادمة ستكون بقيادة موتورولا ،، لاسيم بعد استحواذ قوقل عليها. 

#google #motorola #moto"
4VB710P0J1,Carol Davis,aFdgURdmis,Incredible Life in the Future,1902-07-31,I can't wait to get the new #Galaxy #Nexus with #IceCreamSandwich... best yet it supports my #Google Wallet http://t.co/bqMuHxkK via @cnet
n1b3L62CQd,Jacob Gonzalez,RsTYhS8M4H,Magical Secret in the Mountains,2020-12-23,I just installed Twidroyd for #Twitter on my #Android Phone - It's #Free and you can mute users :) http://t.co/kIHs1HRm
C9i3nrNpf9,Carol White,CgqxYQxZqi,Mysterious Story Under the Sea,1935-05-31,A Child’s-Eye View Of #Microsoft’s #Kinect For #Kids http://t.co/mnamu0xF
